,index,sub_num,block_num,trial_num,task_num,old_num,word,grey,change_time,resp,resp_bin,RT,on_time,trial_time,word_time,cue_duration
52,52,7,2,5,2,0,jeep,None,None,2,2,0.799972557,34.95797028,34.95837635,37.95837635,3
53,53,7,2,6,2,1,iron,None,None,1,1,0.99194504,41.11822056,41.12532406,44.12532406,3
54,54,7,2,7,3,0,eyeliner,1,1.081670603,1,1,1.608540484,51.05614836,51.05916818,54.05916818,3
55,55,7,2,8,1,1,abacus,None,None,2,2,1.25783653,58.67189035,58.67619856,61.67619856,3
56,56,7,2,9,2,1,hook,None,None,2,2,1.258940903,67.9533296,67.95999784,70.95999784,3
57,57,7,2,10,3,0,bacon,1,0.638188505,1,1,1.125199646,74.81824224,74.81865627,77.81865627,3
58,58,7,2,11,3,1,cannon,0,0.968359137,1,1,1.933571735,83.27531607,83.27740395,86.27740395,3
59,59,7,2,12,1,1,freezer,None,None,2,2,1.578499696,90.88932431,90.89445481,93.89445481,3
60,60,7,2,13,2,0,broom,None,None,2,2,1.502428008,99.37620503,99.37820525,102.3782052,3
61,61,7,2,14,3,1,matchstick,1,0.891788864,1,1,1.450223217,106.7668982,106.7702359,109.7702359,3
62,62,7,2,15,1,0,helicopter,None,None,1,1,1.140313991,113.5549474,113.5622618,116.5622618,3
63,63,7,2,16,2,1,quilt,None,None,2,2,1.048731417,122.859561,122.8627081,125.8627081,3
64,64,7,2,17,1,1,curtain,None,None,2,2,1.274948167,130.4457852,130.4463955,133.4463955,3
65,65,7,2,18,3,0,dishwasher,0,1.128947369,,,,136.6858047,136.6883689,139.6883689,3
66,66,7,2,19,2,1,laptop,None,None,2,2,0.911550323,145.8183571,145.8221422,148.8221422,3
67,67,7,2,20,1,0,couch,None,None,1,1,1.194637673,151.868617,151.872449,154.872449,3
68,68,7,2,21,1,0,corn,None,None,2,2,0.855055783,158.1279025,158.1310901,161.1310901,3
69,69,7,2,22,,,,,,,,,164.4794016,164.4814035,167.4814035,3
70,70,7,2,23,3,1,bamboo,1,0.422749049,1,1,0.958514846,171.4459321,171.4484082,174.4484082,3
71,71,7,2,24,2,0,cactus,None,None,2,2,1.625505179,177.5868726,177.5903816,180.5903816,3
72,72,7,2,25,3,1,dart,0,1.282296722,1,1,1.866897969,186.2233852,186.2241301,189.2241301,3
73,73,7,2,26,3,1,submarine,0,0.921174635,,,,193.7701878,193.7744791,196.7744791,3
74,74,7,2,27,2,1,suitcase,None,None,1,1,1.110681775,203.541749,203.549979,206.549979,3
75,75,7,2,28,2,0,ambulance,None,None,2,2,0.847865071,212.8317485,212.8337622,215.8337622,3
76,76,7,2,29,1,1,aircompressor,None,None,1,1,1.295416955,219.705148,219.709118,222.709118,3
77,77,7,2,30,1,1,chopsticks,None,None,2,2,1.235828941,228.0052995,228.0095085,231.0095085,3
78,78,7,2,31,3,0,bicycle,0,0.908010336,1,1,1.275180101,237.6688617,237.6766509,240.6766509,3
79,79,7,2,32,2,1,comb,None,None,2,2,1.447072912,246.1221715,246.1270631,249.1270631,3
80,80,7,2,33,2,0,clock,None,None,2,2,1.322349166,252.5342857,252.535712,255.535712,3
81,81,7,2,34,1,0,beer,None,None,2,2,0.859655289,259.6429362,259.6443932,262.6443932,3
82,82,7,2,35,2,0,guitar,None,None,1,1,1.418597549,265.9831578,265.9863707,268.9863707,3
83,83,7,2,36,3,1,avocado,0,1.134640062,2,2,1.991870801,274.0385543,274.0450988,277.0450988,3
84,84,7,2,37,3,0,medal,1,1.064783675,1,1,1.516913879,280.9897024,280.9954399,283.9954399,3
85,85,7,2,38,1,1,flashlight,None,None,2,2,0.866482229,290.5744434,290.5792462,293.5792462,3
86,86,7,2,39,2,0,pacifier,None,None,1,1,1.221502813,296.5956645,296.596204,299.596204,3
87,87,7,2,40,1,1,sink,None,None,1,1,1.114249355,305.3352816,305.3382988,308.3382988,3
88,88,7,2,41,1,0,ashtray,None,None,2,2,0.96158144,313.0473347,313.0553438,316.0553438,3
89,89,7,2,42,3,0,alarm,1,0.870297898,1,1,1.783552369,321.7176201,321.7224381,324.7224381,3
90,90,7,2,43,1,1,whiteboard,None,None,1,1,1.266980758,328.0461424,328.047744,331.047744,3
91,91,7,2,44,1,0,chocolate,None,None,2,2,0.910417534,337.5872944,337.5898995,340.5898995,3
92,92,7,2,45,2,1,parcel,None,None,1,1,1.043892042,345.3673748,345.3735922,348.3735922,3
93,93,7,2,46,1,0,hotdog,None,None,2,2,0.968492603,351.7658286,351.7739054,354.7739054,3
94,94,7,2,47,3,1,aquarium,1,0.454464699,1,1,1.10016924,359.2791387,359.282614,362.282614,3
95,95,7,2,48,3,0,eraser,1,0.852013438,1,1,1.216884363,366.9968222,366.9996516,369.9996516,3
0,0,8,1,1,3,0,corn,0,0.650292583,2,2,1.6502161,6,6.002125803,9.002125803,3
1,1,8,1,2,2,1,cannon,None,None,1,1,0.783304563,14.40799763,14.41086387,17.41086387,3
2,2,8,1,3,2,1,beaker,None,None,1,1,1.230876159,20.56830655,20.56945659,23.56945659,3
3,3,8,1,4,1,0,jeans,None,None,1,1,1.313787843,27.3281143,27.32817132,30.32817132,3
4,4,8,1,5,3,1,abacus,0,0.789722926,1,1,1.141853048,35.72315376,35.72858306,38.72858306,3
5,5,8,1,6,3,0,envelope,1,0.331331951,2,2,1.491915217,44.99035139,44.995678,47.995678,3
6,6,8,1,7,2,1,dice,None,None,1,1,1.15565643,51.09985535,51.10429873,54.10429873,3
7,7,8,1,8,2,0,eggs,None,None,2,2,1.879635634,58.5127033,58.51303629,61.51303629,3
8,8,8,1,9,1,0,ambulance,None,None,1,1,1.125159966,67.00752806,67.01345343,70.01345343,3
9,9,8,1,10,2,1,earphone,None,None,1,1,1.088515212,73.64753261,73.65545637,76.65545637,3
10,10,8,1,11,3,0,milk,1,0.992472061,,,,82.11175379,82.11416513,85.11416513,3
11,11,8,1,12,1,0,clipper,None,None,2,2,1.15165903,89.76505003,89.77287369,92.77287369,3
12,12,8,1,13,3,1,tape,1,1.278034055,,,,98.40817342,98.41497314,101.4149731,3
13,13,8,1,14,3,1,barbell,1,0.969944787,2,2,1.716864779,105.0720343,105.0736502,108.0736502,3
14,14,8,1,15,1,0,fork,None,None,2,2,1.096235583,113.2168174,113.224062,116.224062,3
15,15,8,1,16,2,0,medal,None,None,1,1,1.581912398,121.9582047,121.9661295,124.9661295,3
16,16,8,1,17,3,1,chopsticks,0,0.528179978,2,2,1.366846129,130.488061,130.4915292,133.4915292,3
17,17,8,1,18,3,0,doorknob,1,1.29800186,1,1,1.675200171,136.8560382,136.8585141,139.8585141,3
18,18,8,1,19,1,1,wontons,None,None,2,2,1.03662581,144.086636,144.0922305,147.0922305,3
19,19,8,1,20,3,1,curtain,0,0.811839251,2,2,1.641875192,150.1998709,150.2008159,153.2008159,3
20,20,8,1,21,2,0,eyeliner,None,None,2,2,1.242189454,156.6325095,156.6345112,159.6345112,3
21,21,8,1,22,1,1,iron,None,None,2,2,1.215827349,163.0066865,163.0097963,166.0097963,3
22,22,8,1,23,2,1,matchstick,None,None,2,2,1.080292062,171.8062688,171.810255,174.810255,3
23,23,8,1,24,2,0,dishwasher,None,None,2,2,1.899503339,179.1196575,179.1272735,182.1272735,3
24,24,8,1,25,1,1,lantern,None,None,2,2,1.037850758,185.2695697,185.2775217,188.2775217,3
25,25,8,1,26,3,0,ashtray,1,0.930227007,1,1,1.866893617,193.3276759,193.3279801,196.3279801,3
26,26,8,1,27,1,1,quilt,None,None,2,2,1.401147739,199.9612915,199.9616347,202.9616347,3
27,27,8,1,28,2,1,avocado,None,None,1,1,1.368848029,208.1703263,208.1703701,211.1703701,3
28,28,8,1,29,2,0,banner,None,None,2,2,0.886824042,214.5200042,214.5206527,217.5206527,3
29,29,8,1,30,3,1,mouse,0,1.216653473,1,1,1.900231652,223.7704633,223.7711421,226.7711421,3
30,30,8,1,31,1,0,pacifier,None,None,2,2,0.853001916,231.1623473,231.1631618,234.1631618,3
31,31,8,1,32,3,0,hose,0,0.860169599,2,2,1.433565463,238.3840079,238.3885168,241.3885168,3
32,32,8,1,33,3,1,bleacher,1,0.941239295,1,1,1.450228849,246.6191959,246.6222233,249.6222233,3
33,33,8,1,34,2,0,eraser,None,None,2,2,1.518530503,252.9848928,252.9892312,255.9892312,3
34,34,8,1,35,1,0,cereal,None,None,2,2,1.765482277,259.6542388,259.6562249,262.6562249,3
35,35,8,1,36,1,0,guitar,None,None,1,1,1.351419979,265.7194881,265.723138,268.723138,3
36,36,8,1,37,,,,,,,,,273.0946689,273.0985501,276.0985501,3
37,37,8,1,38,3,0,helicopter,0,0.609514619,1,1,1.450194545,279.7399642,279.7405136,282.7405136,3
38,38,8,1,39,1,1,parcel,None,None,2,2,1.47272616,288.0164913,288.0242578,291.0242578,3
39,39,8,1,40,1,1,comb,None,None,2,2,0.791754015,296.9666917,296.9747167,299.9747167,3
40,40,8,1,41,2,0,bacon,None,None,,,,306.0729148,306.07519,309.07519,3
41,41,8,1,42,3,1,boombox,0,0.9284579,2,2,1.75860593,315.7023734,315.7089627,318.7089627,3
42,42,8,1,43,1,1,piano,None,None,1,1,0.840359482,323.3396133,323.3426487,326.3426487,3
43,43,8,1,44,1,0,cactus,None,None,2,2,0.958572958,333.1443235,333.1514983,336.1514983,3
44,44,8,1,45,2,1,bamboo,None,None,1,1,0.911299702,342.411959,342.4185648,345.4185648,3
45,45,8,1,46,2,0,hamburger,None,None,2,2,1.074105372,350.5618284,350.5690114,353.5690114,3
46,46,8,1,47,3,0,feather,0,0.91590703,2,2,1.691907332,359.0208032,359.0277586,362.0277586,3
47,47,8,1,48,1,1,laptop,None,None,1,1,0.698512578,366.995781,367.0031237,370.0031237,3
